satisfaction,evaluation,averageMonthlyHours,yearsAtCompany,turnover
46,57,291,3,0
56,52,284,3,0
81,66,264,2,0
93,59,267,3,0
82,97,275,5,0
76,51,262,3,0
97,81,268,2,0
38,81,267,3,0
46,49,286,3,0
34,57,292,3,0
63,76,277,3,0
57,56,288,3,0
17,76,278,5,0
74,67,262,3,0
59,56,274,3,0
49,61,275,3,0
49,58,262,4,0
61,71,275,3,0
81,79,275,3,0
74,63,268,3,0
91,98,282,4,0
71,66,268,2,0
73,71,261,3,0
44,40,272,6,0
60,56,274,4,0
73,88,271,2,0
80,54,281,3,0
97,50,282,2,0
99,75,269,2,0
96,82,280,3,0
24,70,278,6,0
45,39,271,3,0
74,96,283,4,0
60,98,269,3,0
67,56,275,4,0
57,99,264,2,0
87,71,267,4,0
25,83,260,5,0
98,84,280,4,0
30,64,251,3,0
21,52,289,2,0
56,70,273,2,0
75,96,280,2,0
50,77,280,3,0
61,92,256,5,0
83,59,273,4,0
66,76,273,4,0
84,68,275,3,0
87,57,283,3,0
48,37,270,2,0
84,79,304,3,0
49,71,262,3,0
67,93,281,3,0
12,93,265,6,0
99,67,289,2,0
17,59,275,5,0
58,66,280,5,0
50,73,274,3,0
35,69,295,2,0
93,95,282,3,0
73,87,279,3,0
91,54,286,2,0
72,66,283,2,0
51,39,269,3,0
55,92,276,3,0
66,76,289,5,0
84,41,271,6,0
81,80,283,2,0
81,69,273,2,0
50,75,293,3,0
78,68,263,3,0
76,74,275,3,0
49,71,274,2,0
99,61,265,3,0
73,48,273,5,0
88,74,286,2,0
79,91,267,3,0
83,98,256,2,0
21,44,277,6,0
87,52,284,2,0
100,89,269,3,0
49,98,273,3,0
51,63,280,2,0
63,64,265,2,0
91,63,263,3,0
54,50,281,4,0
100,59,279,3,0
64,91,282,3,0
65,96,281,2,0
15,93,280,5,0
81,83,279,3,0
61,83,276,4,0
86,55,261,2,0
71,62,284,2,0
72,82,276,3,0
84,37,259,2,0
38,74,270,4,0
75,56,283,3,0
93,77,280,5,0
71,64,275,3,0
75,96,292,3,0
56,68,285,2,0
57,82,269,3,0
63,83,270,4,0
59,91,287,3,0
77,62,276,2,0
65,70,283,4,0
84,49,275,3,0
90,45,276,6,0
60,83,269,3,0
90,74,249,3,0
94,70,281,2,0
56,90,279,3,0
95,86,267,3,0
97,85,276,3,0
55,63,280,2,0
79,60,288,2,0
49,76,299,3,0
49,58,279,2,0
57,65,280,2,0
89,81,273,4,0
66,59,280,3,0
94,77,265,3,0
98,95,283,2,0
18,52,252,6,0
57,73,290,3,0
67,55,282,2,0
12,61,280,6,0
48,95,262,2,0
61,97,258,3,0
23,52,284,4,0
40,38,268,2,0
57,60,269,3,0
95,98,293,3,0
93,66,268,4,0
70,88,269,5,0
58,90,271,3,0
52,95,267,3,0
98,88,283,3,0
93,94,283,3,0
34,63,266,3,0
87,75,279,2,0
52,96,286,2,0
58,91,279,4,0
65,51,278,3,0
74,59,261,3,0
63,70,272,3,0
74,74,275,2,0
65,100,285,3,0
48,94,268,3,0
84,75,284,3,0
60,62,260,2,0
56,57,262,2,0
13,80,257,5,0
83,51,267,4,0
91,42,290,3,0
97,97,268,2,0
90,96,259,4,0
57,87,275,3,0
84,79,276,2,0
84,74,271,2,0
17,93,273,5,0
97,86,264,3,0
94,66,259,2,0
83,61,306,2,0
91,73,280,3,0
90,76,270,4,0
95,86,301,2,0
69,95,265,6,0
49,98,281,2,0
45,37,273,2,0
21,90,290,2,0
67,61,277,2,0
76,62,287,2,0
19,78,280,6,0
52,73,273,3,0
66,59,280,2,0
95,67,294,3,0
95,78,272,2,0
57,54,275,3,0
48,57,267,3,0
95,50,271,2,0
70,67,274,3,0
48,61,285,3,0
62,58,275,2,0
58,76,272,3,0
100,87,283,5,0
79,65,280,5,0
58,73,274,2,0
59,79,266,2,0
66,80,282,2,0
71,59,277,3,0
90,74,269,3,0
74,63,275,2,0
66,93,272,3,0
92,53,268,2,0
55,51,272,3,0
51,43,272,4,0
49,52,272,4,0
88,52,289,4,0
60,80,273,2,0
93,65,272,4,0
86,59,321,3,0
78,98,285,3,0
69,55,256,3,0
84,51,279,3,0
48,62,269,3,0
63,86,281,2,0
54,61,278,2,0
85,53,293,2,0
51,52,286,3,0
88,86,294,3,0
87,93,286,3,0
54,50,293,3,0
96,67,277,3,0
58,75,272,2,0
21,57,276,3,0
50,56,286,2,0
52,54,281,3,0
50,70,280,2,0
74,86,265,3,0
69,63,284,3,0
61,74,276,6,0
50,82,282,3,0
79,53,284,2,0
73,68,256,2,0
49,69,289,2,0
70,77,277,3,0
27,62,283,3,0
80,54,267,2,0
45,60,263,4,0
63,64,265,4,0
76,52,280,3,0
42,74,287,6,0
41,87,276,6,0
74,46,279,3,0
82,75,293,4,0
82,65,276,2,0
53,73,281,3,0
71,77,292,2,0
50,90,257,2,0
68,89,279,3,0
68,99,260,2,0
48,86,294,3,0
59,72,289,3,0
21,70,263,2,0
99,73,271,4,0
100,88,276,4,0
84,51,269,2,0
86,82,288,4,0
52,54,284,4,0
94,97,275,5,0
55,81,264,2,0
79,59,275,2,0
91,90,268,3,0
82,99,289,2,0
84,94,275,3,0
72,68,260,3,0
68,85,251,2,0
99,96,271,3,0
74,85,267,2,0
80,41,277,4,0
55,55,264,3,0
56,95,287,3,0
88,98,281,3,0
86,49,280,2,0
64,95,254,2,0
82,58,299,3,0
66,80,282,3,0
64,95,279,3,0
17,78,278,4,0
75,68,277,2,0
45,39,282,3,0
99,90,295,3,0
93,67,276,4,0
88,80,274,3,0
62,52,278,4,0
94,88,277,3,0
59,92,289,2,0
93,89,291,2,0
71,39,271,3,0
60,60,265,2,0
71,69,271,3,0
91,57,288,3,0
78,96,282,2,0
52,63,271,3,0
99,70,276,3,0
86,51,261,2,0
74,68,284,2,0
15,84,279,5,0
57,54,286,3,0
67,60,264,3,0
80,93,276,3,0
83,82,277,4,0
69,53,261,2,0
64,83,290,4,0
95,52,275,2,0
97,52,271,3,0
85,86,272,2,0
72,51,274,2,0
91,85,281,3,0
81,83,277,4,0
13,67,268,6,0
95,81,267,3,0
82,54,280,3,0
63,93,277,4,0
55,69,263,2,0
83,95,277,2,0
54,98,284,3,0
89,91,267,4,0
79,55,295,3,0
56,73,263,3,0
89,70,283,2,0
100,66,268,4,0
43,72,273,4,0
71,55,264,3,0
98,59,289,2,0
81,70,280,2,0
71,53,290,2,0
99,60,278,4,0
34,62,282,2,0
58,91,258,2,0
77,49,278,3,0
64,50,279,4,0
13,100,285,5,0
98,60,278,3,0
72,84,271,2,0
55,79,269,2,0
62,91,298,3,0
74,91,283,3,0
69,96,268,3,0
60,63,280,3,0
54,43,297,2,0
56,75,265,3,0
58,86,292,3,0
21,66,284,5,0
52,85,275,3,0
98,70,264,2,0
85,97,279,3,0
62,88,272,4,0
63,61,281,3,0
84,97,267,2,0
71,69,273,3,0
36,55,267,6,0
79,56,288,4,0
59,55,270,2,0
50,53,279,3,0
88,66,265,3,0
65,69,278,5,0
71,56,282,4,0
89,54,253,2,0
83,84,255,3,0
73,53,280,2,0
71,67,281,3,0
53,66,273,2,0
74,70,280,4,0
60,52,284,2,0
47,60,295,5,0
88,88,293,2,0
62,67,272,3,0
24,48,269,5,0
15,36,280,2,0
92,82,277,3,0
74,70,275,3,0
86,77,266,3,0
96,61,284,3,0
54,60,274,3,0
99,87,287,2,0
72,73,279,2,0
96,75,274,4,0
73,73,286,2,0
67,44,293,4,0
58,72,267,3,0
90,99,269,2,0
99,37,262,3,0
89,58,264,2,0
72,95,271,3,0
77,80,292,3,0
80,94,269,4,0
89,86,261,4,0
59,81,267,2,0
24,87,272,5,0
94,59,278,2,0
74,50,292,3,0
63,62,292,6,0
63,59,295,3,0
77,65,278,2,0
87,74,278,3,0
79,61,269,3,0
54,84,274,3,0
59,83,282,4,0
86,87,278,4,0
98,68,277,3,0
100,79,283,4,0
90,79,284,3,0
34,60,258,3,0
95,93,281,2,0
79,48,280,2,0
13,91,276,5,0
72,69,295,4,0
63,54,281,2,0
81,76,247,2,0
71,75,283,4,0
49,76,255,2,0
59,65,267,3,0
87,59,269,3,0
66,60,268,4,0
78,92,276,2,0
65,70,280,2,0
80,97,257,4,0
56,75,259,2,0
85,67,269,4,0
14,46,267,6,0
74,62,287,2,0
86,93,271,2,0
71,96,280,3,0
83,99,277,2,0
52,49,276,4,0
63,80,285,3,0
92,93,289,2,0
66,87,283,2,0
77,70,275,3,0
74,97,273,4,0
81,76,283,4,0
67,55,285,2,0
75,92,288,3,0
65,36,264,3,0
81,60,298,3,0
57,77,263,3,0
89,66,277,3,0
50,56,272,2,0
21,42,265,4,0
79,67,275,2,0
66,57,283,2,0
82,95,292,3,0
85,85,283,2,0
72,96,261,3,0
52,92,280,3,0
50,62,284,3,0
52,82,298,3,0
13,87,278,4,0
87,98,275,3,0
53,98,283,3,0
15,76,267,4,0
64,86,269,2,0
52,44,276,2,0
79,67,295,3,0
74,89,267,2,0
81,84,272,2,0
94,60,282,3,0
67,84,282,2,0
93,84,279,4,0
52,96,286,2,0
48,74,296,2,0
57,92,289,4,0
71,77,282,4,0
90,74,254,2,0
58,61,275,3,0
66,48,270,4,0
59,66,254,3,0
96,50,266,2,0
13,91,276,5,0
93,92,290,3,0
54,72,267,4,0
54,77,255,3,0
87,62,291,3,0
79,91,277,2,0
83,57,282,4,0
73,60,290,3,0
29,42,273,3,0
80,70,284,4,0
29,81,280,6,0
43,85,278,2,0
99,93,274,3,0
86,51,281,3,0
85,78,275,2,0
66,68,291,3,0
57,99,269,3,0
31,64,287,2,0
88,88,281,3,0
72,72,269,4,0
75,66,268,2,0
82,71,287,4,0
82,67,289,2,0
15,52,282,6,0
16,88,271,3,0
95,40,268,4,0
87,73,279,3,0
85,89,284,2,0
58,60,269,3,0
63,86,278,4,0
69,68,269,3,0
53,85,273,2,0
96,71,290,3,0
73,83,258,3,0
50,60,296,3,0
81,83,273,3,0
82,59,272,3,0
76,72,277,3,0
27,82,286,2,0
64,38,270,3,0
57,90,265,2,0
49,84,267,3,0
66,92,292,4,0
71,36,286,4,0
61,63,276,4,0
52,89,275,4,0
62,91,274,3,0
98,65,283,4,0
67,56,265,2,0
85,62,284,4,0
84,85,281,2,0
100,53,286,3,0
72,76,281,3,0
66,75,255,4,0
64,71,265,2,0
100,76,279,3,0
75,59,283,2,0
81,77,284,3,0
31,98,265,5,0
32,97,289,2,0
48,50,282,3,0
62,42,290,2,0
77,86,241,4,0
76,80,282,4,0
68,41,271,6,0
72,79,253,4,0
87,91,278,2,0
59,57,266,2,0
70,64,279,2,0
73,81,263,2,0
58,62,282,2,0
64,66,265,4,0
89,66,269,2,0
95,71,274,2,0
84,90,276,2,0
60,99,269,3,0
71,63,293,3,0
60,95,286,3,0
91,68,263,3,0
75,100,249,3,0
70,67,278,3,0
23,64,285,5,0
73,83,269,2,0
99,49,270,2,0
62,68,254,3,0
98,89,284,3,0
61,94,260,4,0
52,92,281,2,0
65,66,270,4,0
59,90,264,3,0
71,80,286,2,0
18,70,280,4,0
21,93,272,4,0
15,67,269,5,0
97,53,289,4,0
39,48,273,2,0
35,66,286,2,0
88,58,270,4,0
58,97,301,3,0
61,78,284,2,0
59,98,276,3,0
55,41,300,5,0
52,80,277,3,0
71,77,272,3,0
63,82,275,2,0
17,84,280,4,0
95,49,263,4,0
100,73,283,2,0
73,96,298,3,0
80,64,272,3,0
63,80,267,4,0
95,59,263,3,0
75,83,266,2,0
64,72,276,3,0
72,100,265,3,0
72,53,290,4,0
85,63,262,3,0
24,94,281,4,0
69,53,278,4,0
69,70,280,2,0
87,59,280,3,0
78,91,292,2,0
76,74,296,3,0
35,70,286,3,0
88,59,282,4,0
78,79,276,3,0
36,42,285,5,0
24,70,296,4,0
55,82,259,2,0
91,53,289,4,0
66,61,285,3,0
57,82,270,3,0
64,64,274,3,0
63,98,275,4,0
49,92,277,3,0
70,70,277,3,0
30,71,275,2,0
51,52,277,3,0
71,87,272,3,0
64,67,275,3,0
67,66,278,3,0
83,94,271,3,0
92,96,290,2,0
84,53,274,3,0
97,75,283,6,0
19,91,280,3,0
86,51,265,3,0
71,69,294,3,0
76,56,261,2,0
68,88,283,3,0
61,99,278,3,0
85,79,288,3,0
84,89,279,2,0
62,63,279,2,0
77,76,267,4,0
79,93,280,4,0
97,50,290,2,0
59,61,254,2,0
93,62,284,6,0
85,54,270,2,0
70,57,260,3,0
54,91,280,3,0
42,86,288,5,0
96,75,289,3,0
58,80,280,4,0
61,59,275,2,0
62,97,265,2,0
68,70,281,3,0
60,73,296,5,0
70,91,274,2,0
65,55,307,2,0
48,59,284,2,0
75,73,265,4,0
69,78,264,2,0
34,46,281,2,0
59,49,289,3,0
94,95,281,3,0
98,77,284,2,0
72,66,278,3,0
79,70,276,2,0
54,61,263,4,0
73,95,279,2,0
82,58,287,3,0
57,45,276,2,0
98,93,288,2,0
91,65,273,2,0
72,91,281,2,0
48,73,282,6,0
57,86,278,6,0
86,96,286,3,0
63,85,270,4,0
81,52,271,5,0
21,37,277,4,0
90,66,271,3,0
79,78,269,2,0
95,49,268,3,0
29,43,255,4,0
81,52,305,3,0
21,56,267,5,0
70,83,274,4,0
66,64,266,2,0
16,86,272,2,0
72,80,271,3,0
51,50,280,4,0
59,63,276,2,0
66,40,265,5,0
69,84,273,2,0
69,94,265,3,0
89,79,293,3,0
52,56,283,2,0
91,91,278,3,0
96,53,280,4,0
80,58,279,3,0
55,77,273,3,0
93,63,272,2,0
93,86,284,4,0
54,48,272,2,0
48,76,286,2,0
19,99,287,2,0
95,71,286,2,0
96,81,280,3,0
63,89,272,2,0
81,80,279,2,0
50,88,275,3,0
76,72,280,2,0
84,49,267,3,0
20,95,292,5,0
78,92,267,3,0
80,68,266,3,0
94,57,271,2,0
44,74,280,2,0
92,85,285,2,0
54,80,275,2,0
56,56,274,2,0
66,69,289,3,0
80,91,271,3,0
60,81,270,3,0
73,73,270,3,0
55,74,292,3,0
70,71,272,3,0
53,68,265,3,0
90,94,271,3,0
80,78,254,3,0
51,60,284,3,0
86,96,286,5,0
63,79,264,4,0
83,93,273,4,0
85,55,283,2,0
80,57,290,4,0
79,97,280,3,0
37,71,283,3,0
85,90,289,3,0
76,56,284,3,0
99,62,279,2,0
55,63,272,2,0
69,69,284,3,0
68,100,291,2,0
69,90,278,2,0
65,70,280,4,0
17,88,281,3,0
48,65,276,2,0
65,59,277,3,0
57,49,287,2,0
80,67,277,3,0
80,60,285,2,0
50,60,286,3,0
95,87,273,2,0
69,93,279,3,0
74,57,272,3,0
68,59,279,3,0
68,55,283,3,0
65,37,263,3,0
85,92,268,3,0
49,48,277,3,0
19,80,297,4,0
95,61,279,3,0
63,62,275,3,0
83,80,267,3,0
62,78,275,2,0
74,98,275,3,0
70,87,277,2,0
28,38,280,4,0
39,56,279,5,0
62,63,287,2,0
79,54,266,4,0
87,74,256,4,0
29,75,274,4,0
37,88,271,3,0
68,55,263,4,0
90,51,283,2,0
97,65,272,3,0
60,77,290,2,0
58,79,268,2,0
83,86,275,3,0
83,73,262,3,0
94,71,293,2,0
69,90,275,4,0
81,81,287,2,0
19,50,270,5,0
18,64,275,4,0
58,63,284,3,0
76,65,270,3,0
26,47,269,4,0
78,87,269,3,0
71,56,281,3,0
76,61,287,2,0
44,81,282,2,0
26,69,267,5,0
75,57,278,3,0
64,90,274,3,0
79,71,296,3,0
96,61,268,2,0
63,100,269,2,0
65,55,283,3,0
76,81,273,3,0
26,90,284,5,0
84,73,282,5,0
74,77,287,3,0
53,45,284,3,0
70,56,297,3,0
62,69,279,4,0
71,68,292,4,0
50,65,285,2,0
53,50,273,6,0
88,89,272,4,0
79,83,272,3,0
69,89,279,2,0
57,96,283,2,0
68,80,273,3,0
60,82,267,3,0
70,90,290,3,0
71,76,273,2,0
49,51,286,3,0
74,70,252,2,0
20,93,257,5,0
57,50,273,2,0
83,48,256,4,0
22,64,278,2,0
67,57,269,4,0
54,84,279,3,0
54,53,272,3,0
64,61,284,4,0
23,84,277,4,0
88,87,309,3,0
83,54,280,3,0
88,67,263,2,0
90,85,296,2,0
49,61,261,3,0
55,49,274,3,0
92,69,278,6,0
72,67,261,4,0
63,50,271,3,0
98,66,283,3,0
76,52,265,3,0
42,56,280,3,0
58,65,261,4,0
85,82,276,3,0
67,95,282,4,0
58,100,263,3,0
84,76,267,5,0
56,68,269,2,0
63,83,293,3,0
51,92,288,3,0
95,81,276,3,0
85,55,276,3,0
73,78,261,3,0
20,49,262,5,0
78,79,266,2,0
83,80,275,3,0
87,56,289,3,0
98,99,271,3,0
100,81,281,3,0
70,55,297,3,0
62,88,287,3,0
67,72,273,2,0
86,96,280,3,0
44,57,268,2,0
19,86,279,4,0
76,83,281,2,0
89,93,268,4,0
25,97,276,3,0
68,100,278,2,0
38,50,270,2,0
64,95,274,4,0
76,62,282,3,0
26,45,271,3,0
69,67,274,2,0
98,66,271,2,0
86,83,270,2,0
14,68,281,5,0
58,63,271,3,0
63,97,283,2,0
70,91,278,3,0
73,62,284,4,0
89,52,262,3,0
17,61,287,5,0
86,73,283,2,0
59,73,281,3,0
22,51,280,2,0
55,57,268,2,0
74,60,293,2,0
55,54,278,2,0
67,94,266,2,0
64,80,266,3,0
58,71,275,3,0
90,60,276,3,0
89,90,265,3,0
74,37,262,4,0
78,91,265,4,0
97,53,266,3,0
52,92,277,2,0
99,86,284,2,0
76,44,259,4,0
69,96,285,3,0
59,69,272,3,0
95,63,283,3,0
69,81,270,2,0
76,75,285,4,0
70,84,279,4,0
87,60,262,2,0
44,55,279,3,0
54,91,266,3,0
55,75,265,3,0
81,75,275,3,0
50,55,266,2,0
93,74,280,3,0
64,50,269,6,0
57,78,281,4,0
95,74,272,3,0
86,67,295,3,0
82,58,279,2,0
18,79,271,4,0
58,70,269,4,0
57,56,253,2,0
94,83,278,3,0
20,97,263,5,0
73,75,277,5,0
94,80,291,3,0
99,61,265,3,0
22,49,281,4,0
67,66,274,3,0
49,67,279,2,0
78,95,256,3,0
15,74,285,3,0
91,89,269,3,0
70,78,275,4,0
60,95,263,3,0
59,57,283,2,0
59,93,261,3,0
55,64,275,3,0
42,75,293,2,0
57,81,265,3,0
72,51,286,2,0
83,81,275,6,0
89,93,265,3,0
55,59,265,3,0
53,75,271,2,0
74,59,248,4,0
63,98,276,2,0
63,40,272,2,0
61,97,268,3,0
76,79,276,5,0
67,82,277,4,0
51,95,258,3,0
67,55,282,3,0
16,94,273,4,0
34,85,275,4,0
58,73,280,3,0
50,71,290,5,0
56,48,279,3,0
56,98,279,3,0
74,71,281,2,0
69,99,285,2,0
15,81,282,5,0
58,67,280,2,0
80,79,267,3,0
50,57,270,3,0
66,92,269,2,0
81,78,290,3,0
14,68,276,5,0
92,85,285,2,0
69,91,263,3,0
66,99,271,2,0
85,39,279,4,0
83,69,271,2,0
100,49,275,4,0
68,65,276,4,0
26,97,280,2,0
35,41,272,2,0
12,58,272,2,0
91,93,269,3,0
65,67,271,3,0
78,72,274,4,0
61,82,282,4,0
64,51,287,2,0
58,73,262,4,0
63,76,258,2,0
94,60,275,2,0
26,81,264,4,0
59,69,295,3,0
78,80,282,3,0
86,64,286,3,0
79,73,298,3,0
89,73,268,4,0
34,99,280,3,0
29,77,276,6,0
71,89,260,4,0
93,58,266,2,0
94,76,263,3,0
91,72,290,3,0
71,96,290,4,0
67,81,275,4,0
54,42,277,3,0
89,58,271,4,0
94,91,274,3,0
15,89,277,6,0
45,92,276,4,0
92,67,291,4,0
63,56,265,5,0
80,66,280,3,0
45,72,294,2,0
72,54,269,2,0
84,36,277,5,0
61,51,257,2,0
63,88,273,3,0
49,54,279,2,0
68,51,253,3,0
64,85,257,2,0
61,64,269,3,0
83,55,270,3,0
94,51,273,2,0
27,66,258,6,0
60,49,276,4,0
83,69,285,2,0
53,75,274,3,0
79,97,262,3,0
96,49,271,3,0
50,56,278,3,0
68,81,281,2,0
24,54,269,4,0
80,80,266,6,0
62,74,266,3,0
100,85,282,2,0
64,75,277,3,0
51,55,261,3,0
74,50,283,3,0
49,99,281,2,0
96,83,304,6,0
59,62,280,4,0
84,57,266,3,0
16,84,271,6,0
62,75,277,2,0
79,67,280,3,0
53,83,272,3,0
17,48,285,5,0
57,76,287,2,0
65,82,271,2,0
69,74,284,2,0
30,80,264,3,0
99,92,289,3,0
50,69,283,2,0
54,96,272,2,0
69,57,283,4,0
50,85,278,2,0
66,73,286,3,0
100,93,275,3,0
15,61,283,6,0
31,54,280,5,0
65,49,287,4,0
72,69,291,2,0
84,85,268,3,0
55,80,263,2,0
60,58,275,3,0
84,48,289,2,0
68,87,262,3,0
13,100,276,3,0
88,98,289,2,0
64,57,281,3,0
19,95,300,3,0
83,88,253,3,0
17,41,272,3,0
44,74,265,6,0
52,55,273,2,0
66,62,276,2,0
96,55,269,3,0
19,50,288,3,0
86,100,267,3,0
65,57,272,4,0
61,97,280,3,0
53,96,296,3,0
14,76,287,6,0
74,100,271,4,0
47,62,304,5,0
60,56,261,3,0
81,58,259,4,0
95,59,283,4,0
98,80,292,2,0
52,80,271,3,0
100,97,278,3,0
16,74,276,4,0
19,83,275,4,0
94,87,281,3,0
58,43,263,3,0
92,69,293,3,0
65,80,274,4,0
74,74,257,3,0
60,53,276,2,0
100,100,278,4,0
81,96,289,3,0
54,67,288,3,0
18,81,274,4,0
82,88,276,2,0
90,96,276,2,0
62,62,271,2,0
77,76,281,3,0
58,86,292,2,0
27,47,280,6,0
78,72,280,3,0
98,66,282,3,0
75,50,267,4,0
74,67,277,3,0
90,99,294,3,0
73,71,283,6,0
90,62,287,3,0
68,91,291,3,0
90,74,276,4,0
64,93,284,2,0
63,90,298,3,0
87,89,283,4,0
60,55,290,3,0
70,74,266,3,0
15,94,279,6,0
45,75,269,3,0
43,90,278,5,0
92,46,264,5,0
72,81,281,2,0
94,84,282,2,0
74,52,267,3,0
48,71,270,3,0
84,76,258,2,0
53,86,279,3,0
45,88,268,3,0
95,67,268,4,0
95,58,275,3,0
70,85,269,2,0
19,93,285,4,0
74,91,282,3,0
54,59,293,3,0
50,69,260,2,0
95,72,269,5,0
69,69,299,3,0
24,74,270,3,0
96,70,270,2,0
61,50,268,4,0
76,53,258,3,0
61,64,279,2,0
37,48,268,5,0
81,90,265,3,0
59,90,276,3,0
73,82,274,3,0
87,57,262,6,0
67,66,288,3,0
96,78,278,3,0
98,51,283,3,0
50,58,285,2,0
49,71,282,2,0
13,65,270,4,0
57,68,276,6,0
51,94,275,2,0
99,69,286,2,0
80,77,264,2,0
56,39,278,4,0
96,84,274,4,0
96,50,274,2,0
87,53,287,6,0
61,90,268,3,0
18,60,286,4,0
24,77,288,5,0
86,48,278,3,0
25,62,286,5,0
25,82,259,5,0
63,55,268,3,0
89,68,276,2,0
87,82,274,3,0
87,78,273,2,0
71,99,281,4,0
98,87,279,2,0
16,51,281,6,0
83,68,276,2,0
65,77,281,2,0
95,64,284,3,0
67,67,276,3,0
53,88,279,3,0
74,94,274,3,0
77,79,285,4,0
13,72,275,5,0
82,92,276,3,0
88,65,270,2,0
89,50,277,2,0
85,51,266,4,0
93,87,275,2,0
62,70,269,3,0
58,96,287,2,0
98,50,264,3,0
52,45,267,3,0
76,49,268,2,0
73,91,285,2,0
74,64,288,5,0
49,48,279,2,0
91,97,279,3,0
74,92,275,3,0
86,82,253,4,0
52,47,263,5,0
95,81,299,2,0
65,98,292,3,0
70,56,269,2,0
14,66,274,5,0
92,53,284,4,0
54,60,285,2,0
76,95,255,4,0
78,66,285,2,0
85,86,281,3,0
78,80,265,3,0
55,72,254,3,0
68,61,289,2,0
91,68,255,2,0
76,56,264,2,0
15,67,289,3,0
95,60,259,3,0
74,37,275,3,0
92,56,290,2,0
64,89,291,3,0
96,90,267,3,0
21,72,282,6,0
85,67,293,4,0
52,86,269,3,0
54,81,258,6,0
56,81,281,4,0
59,79,276,3,0
88,58,275,3,0
70,84,278,3,0
95,58,276,2,0
83,88,292,2,0
76,62,287,3,0
82,92,278,3,0
55,97,275,3,0
89,55,274,4,0
66,94,277,3,0
41,61,286,2,0
83,77,280,2,0
88,72,266,2,0
56,66,260,2,0
53,72,278,3,0
80,41,266,4,0
95,78,286,3,0
90,88,270,2,0
50,97,270,3,0
40,59,271,6,0
52,85,255,4,0
51,50,271,3,0
84,62,264,3,0
78,98,274,3,0
91,71,281,3,0
59,71,277,2,0
69,97,268,4,0
87,93,288,2,0
66,100,249,2,0
50,54,264,3,0
95,75,279,4,0
77,64,268,3,0
66,50,271,2,0
61,98,283,5,0
70,87,276,3,0
89,71,262,2,0
60,78,262,3,0
62,51,285,3,0
59,90,269,2,0
69,59,287,4,0
36,94,296,5,0
59,93,267,3,0
50,51,261,4,0
53,99,265,3,0
84,90,273,2,0
51,95,266,3,0
53,56,264,3,0
98,63,285,3,0
95,81,280,3,0
13,76,285,3,0
50,64,297,4,0
93,76,257,3,0
50,87,273,2,0
66,84,273,2,0
89,79,281,3,0
46,43,268,3,0
67,60,287,3,0
96,90,272,3,0
98,76,263,3,0
67,57,271,4,0
72,72,278,4,0
65,49,260,2,0
72,67,267,3,0
78,58,271,3,0
93,56,281,2,0
73,85,266,4,0
20,57,271,5,0
47,50,269,2,0
56,62,293,3,0
72,86,268,2,0
91,56,275,4,0
79,49,284,3,0
53,75,285,4,0
14,51,265,6,0
78,92,276,4,0
52,74,280,3,0
94,68,284,2,0
83,80,277,4,0
44,68,290,2,0
72,74,273,2,0
84,58,280,3,0
76,99,283,2,0
92,94,280,2,0
58,93,283,2,0
85,81,267,4,0
74,51,268,3,0
74,87,270,2,0
72,80,283,3,0
76,98,272,3,0
85,72,271,3,0
82,49,264,3,0
60,93,276,3,0
39,64,283,2,0
83,53,269,4,0
70,92,275,3,0
84,97,273,2,0
90,77,273,3,0
18,84,275,5,0
52,71,278,2,0
87,51,266,3,0
60,79,284,2,0
72,93,270,2,0
48,64,279,3,0
75,53,259,2,0
85,55,263,6,0
39,41,275,3,0
61,68,292,2,0
60,61,265,3,0
57,64,282,3,0
19,68,289,3,0
48,77,289,3,0
69,75,270,3,0
70,55,292,4,0
65,92,262,3,0
81,96,267,3,0
85,95,259,3,0
93,76,279,2,0
72,94,277,3,0
49,55,285,3,0
94,47,288,6,0
81,84,282,2,0
92,78,268,4,0
97,82,289,2,0
98,61,286,2,0
44,45,272,2,0
72,87,275,4,0
80,73,277,3,0
60,72,296,4,0
89,65,265,3,0
69,57,282,2,0
54,81,277,2,0
97,75,272,3,0
37,40,284,2,0
73,52,272,3,0
57,69,277,3,0
86,66,272,2,0
83,85,272,3,0
19,52,278,5,0
55,93,276,4,0
60,65,287,2,0
62,71,288,3,0
65,55,279,2,0
40,48,258,2,0
82,78,278,2,0
75,69,284,2,0
83,53,255,3,0
77,78,278,3,0
59,98,274,3,0
80,79,262,4,0
84,55,265,3,0
88,71,261,3,0
37,90,273,6,0
88,66,273,2,0
69,85,277,2,0
54,49,260,2,0
76,57,283,4,0
51,58,271,3,0
16,52,264,4,0
65,60,284,3,0
54,81,281,4,0
66,68,287,3,0
95,65,264,3,0
83,57,275,2,0
98,84,263,3,0
72,72,283,2,0
71,62,284,4,0
36,65,277,2,0
55,65,279,4,0
64,52,278,3,0
62,57,271,2,0
100,95,283,6,0
91,91,289,2,0
81,67,271,3,0
71,92,273,3,0
97,74,278,5,0
75,86,257,4,0
68,100,274,4,0
87,68,289,3,0
96,57,272,2,0
41,86,274,5,0
81,61,281,4,0
68,100,280,5,0
63,56,257,3,0
60,84,255,3,0
66,97,286,3,0
69,82,282,4,0
23,37,279,4,0
52,63,275,3,0
65,86,276,2,0
78,40,269,3,0
60,65,267,2,0
90,62,259,3,0
59,95,263,2,0
89,78,276,2,0
96,85,280,4,0
68,76,265,3,0
52,72,279,2,0
